0.39285,0.1636,0.087482
0.665,0.39737,0.30492
0.95093,0.65253,0.54917
0.79264,0.30092,0.31136
0.91331,0.079398,0.31864
0.27542,0.22852,0.078871
0.52373,0.46113,0.29931
0.79128,0.71791,0.54415
0.11041,0.26627,0.07183
0.34896,0.50716,0.2945
0.60344,0.76965,0.53968
0.33169,0.81135,0.53575
0.68696,0.39376,0.11391
0.98436,0.64784,0.36236
0.81023,0.29586,0.13143
0.92797,0.057315,0.14924
0.55313,0.45814,0.096699
0.83338,0.71377,0.35386
0.39552,0.50451,0.079802
0.66171,0.76587,0.34618
0.13783,0.53905,0.06322
0.44011,0.80782,0.33929
0.85839,0.71116,0.070779
0.69506,0.76349,0.019294
0.36623,0.16931,0.23558
0.62399,0.4036,0.46961
0.89909,0.6593,0.72738
0.76045,0.30958,0.47344
0.8868,0.10909,0.47784
0,0,0
0.23251,0.23251,0.23251
0.46633,0.46633,0.46633
0.7239,0.7239,0.7239
1,1,1
0.2411,0.51178,0.46355
0.50233,0.77512,0.72081
0.30341,0.18029,0.38191
0.55245,0.41304,0.634
0.82059,0.66847,0.90544
0.43642,0.024497,0.3841
0.70665,0.32246,0.63662
0.99146,0.58586,0.90837
0.84345,0.1441,0.63964
0.090926,0.24039,0.38019
0.35379,0.47425,0.63176
0.61513,0.73204,0.90283
0.29318,0.78258,0.90052
0.12889,0.19733,0.53455
0.42237,0.42613,0.80202
0.34921,0.077537,0.53599
0.61867,0.33993,0.80396
0.77564,0.18285,0.80619
0.096375,0.12542,0.69499
0.46415,0.36203,0.97612
0.66887,0.22439,0.97785
